model,price,Kilometer,Årgang,Hestekræfter,Km/l,Tophastighed,Brændstoftype,Max. påhæng,Vægt,Gearkasse,Antal døre
"Citroën Berlingo 1,6 HDi 90 Multispace",39900,266000,2008,90,18,160,Diese,1.000,1.404,Manue,5
"Citroën Grand C4 Picasso 2,0 BlueHDi 150 Intensive EAT6",174000,113000,2015,150,23,207,Diese,1.600,1.710,Automatis,5
"Citroën C4 Cactus 1,6 BlueHDi 100 Fee",84900,169000,2015,100,32,184,Diese,870,1.070,Manue,5
"Citroën Grand C4 Picasso 1,8 16V VTR+ 7prs",49900,208000,2007,127,12,185,Benzin,1.200,1.601,Manue,5
"Citroën Berlingo 1,6 HDi 110 Multispace",39900,216000,2010,110,19,173,Diese,1.000,1.404,Manue,5
Citroën C5 16V Exclusive,59900,164000,2009,140,12,210,Benzin,1.500,1.496,Manue,4
"Citroën C4 1,6 BlueHDi 100 Feel+",109800,137000,2017,100,30,180,Diese,1.550,1.440,Manue,5
"Citroën C3 1,2 PureTech 82 Iconic",104900,35000,2018,82,22,177,Benzin,450,955,Manue,5
"Citroën C3 1,0 VTi 68 Seduction",54990,86000,2013,68,23,163,Benzin,775,1.120,Manue,5
"Citroën C4 1,6 BlueHDi 100 Feel+",109800,89000,2017,100,30,180,Diese,1.550,1.440,Manue,5
"Citroën C1 1,0 VTi 72 Shine",109990,1000,2021,72,25,160,Benzin,,815,Manue,5
Citroën C4,64900,149000,2012,92,24,180,Diese,1.350,1.180,Manue,5
"Citroën DS5 2,0 HDi 163 Style au",124900,112000,2012,163,16,215,Diese,1.500,1.515,Automatis,5
"Citroën C4 Cactus 1,2 PT 82 Feel Comple",112880,56000,2016,82,22,167,Benzin,720,965,Manue,5
"Citroën C3 1,6 BlueHDi 75 Feel+",84900,151000,2017,75,31,174,Diese,600,1.065,Manue,5
"Citroën C4 Picasso 1,6 e-HDi 112 Exclusive E6G",49400,229000,2011,112,19,182,Diese,1.240,1.581,Automatis,5
"Citroën C4 Picasso 2,0 16V VTR+ E6G",38900,236000,2007,143,12,190,Benzin,1.500,1.486,Automatis,5
"Citroën Grand C4 Picasso 1,6 HDi 110 7prs",14900,313000,2007,110,17,180,Diese,880,1.505,Manue,5
"Citroën C4 Picasso 1,6 HDi 110",13900,87000,2009,110,18,180,Diese,1.080,1.505,Manue,5
"Citroën C4 Cactus 1,2 PT 82 Fee",94900,99000,2015,82,22,167,Benzin,720,965,Manue,5
"Citroën C3 1,2 PT 82 SportLine",132900,14000,2020,82,26,173,Benzin,450,1.097,Manue,5
"Citroën C3 1,2 PT 82 SportLine",132900,14000,2020,82,26,173,Benzin,450,1.097,Manue,5
"Citroën C3 1,2 PT 82 SportLine",132900,14000,2020,82,26,173,Benzin,450,1.097,Manue,5
Citroën Xsara Picasso Clim 95HK,5000,209000,2005,,13,,,,,,
"Citroën C4 Cactus 1,6 BlueHDi 100 Fee",63500,225000,2015,100,32,184,Diese,870,1.070,Manue,5
"Citroën C3 1,4",14900,262000,2006,68,,,Diese,,,Manue,
"Citroën C5 1,6 HDi 110 Dynamique Toure",54900,204000,2010,110,19,188,Diese,1.000,1.512,Manue,5
"Citroën C3 1,4 Prestige",13900,199000,2003,75,16,168,Benzin,900,1.000,Manue,5
"Citroën Berlingo 1,6 HDi 110 XTR",53900,225000,2010,110,19,173,Diese,1.000,1.404,Manue,5
"Citroën C3 1,2 PT 82 Seduction",44900,166000,2014,82,22,174,Benzin,800,1.140,Manue,5
Citroën C1 Seduction,44900,35000,2012,68,22,157,Benzin,,775,Manue,5
"Citroën C4 1,6 e-HDi 112 Seduction E6G",79800,120000,2011,112,26,190,Diese,400,1.440,Automatis,5
"Citroën C3 1,4 VTi Exclusive",34900,179000,2010,95,17,184,Benzin,1.150,1.050,Manue,5
"Citroën C3 1,4 Furio Cli",24900,75000,2005,75,16,168,Benzin,900,1.000,Manue,5
"Citroën C3 1,6 BlueHDi 100 Cool Comfo",84900,82000,2016,100,33,189,Diese,1.150,1.280,Manue,5
"Citroën C3 1,6 BlueHDi 75 Feel+",79600,129000,2016,75,31,174,Diese,600,1.065,Manue,5
"Citroën C4 Cactus 1,6 BlueHDi 100 Fee",84900,170000,2016,100,32,184,Diese,870,1.070,Manue,5
"Citroën C4 1,6 Blue HDi Feel Complet start/stop  5d 6",99980,100000,2016,120,28,197,Diese,,1.860,Manue,4
"Citroën C4 1,6 BlueHDi 100 Feel Comple",109900,65000,2016,100,30,180,Diese,1.550,1.440,Manue,5
"Citroën C4 1,6 e-HDi 115 Seduction",89800,83000,2014,112,26,190,Diese,1.550,1.440,Manue,5
"Citroën C3 1,6 BlueHDi 100 Challenge",84800,113000,2017,100,33,189,Diese,1.150,1.280,Manue,5
"Citroën C4 1,6 BlueHDi 120 Challenge EAT6",119900,154000,2017,120,26,192,Diese,1.450,1.275,Automatis,5
"Citroën C1 1,0 VTi 72 SportLine",68800,76000,2018,72,29,160,Benzin,,949,Manue,5
"Citroën C3 1,4 HDi Seduction",29900,218000,2012,70,26,163,Diese,700,1.190,Manue,5
"Citroën C4 1,6 BlueHDi 100 Extravaganza",124900,88000,2018,100,30,180,Diese,1.550,1.440,Manue,5
Citroën Jumper 33 HDi 140 L3H2 Flexline 2.2 HDi 140 L3H2,199545,2,2020,,,,Diese,,,,
"Citroën C4 1,6 e-HDi 115 Seduction E6G",69900,189000,2013,115,26,190,Diese,400,1.440,Automatis,5
"Citroën C4 Cactus 1,2 PT 82 Shine ETG",89900,177000,2015,82,23,172,Benzin,725,975,Automatis,5
"Citroën DS4 1,6 VTi 120 Style Pac",84900,113000,2012,120,16,193,Benzin,1.200,1.180,Manue,5
Citroën C3 Aircross,163500,41000,2018,110,20,185,Benzin,840,1.134,Manue,5
"Citroën C1 1,2 PT 82 Feel Airscape",64400,63000,2014,82,23,170,Benzin,,881,Manue,5
"Citroën C5 Aircross 1,5 BlueHDi 130 Platinu",287000,16000,2020,130,28,188,Diese,1.450,1.544,Manue,5
"Citroën C4 Cactus 1,6 e-HDi 92 Feel ETG6",107500,93000,2014,92,29,184,Diese,865,1.055,Automatis,5
"Citroën C3 1,4 HDi 70 Scoop 2",54900,146000,2015,70,26,163,Diese,700,1.190,Manue,5
"Citroën C1 1,2 PT 82 Comple",62900,78000,2017,82,23,170,Benzin,,865,Manue,5
"Citroën C4 Cactus 1,6 BlueHDi 100 Fee",94900,106000,2016,100,32,184,Diese,870,1.070,Manue,5
"Citroën C3 Picasso 1,2 PureTech 110 Upgrade",99900,102000,2016,110,20,186,Benzin,1.100,1.380,Manue,5
"Citroën C1 1,0 e-VTi 68 Scoop",54900,61000,2014,68,26,157,Benzin,,860,Manue,5
"Citroën Grand C4 Picasso 1,2 PT 130 Iconic",209800,77000,2018,130,20,201,Benzin,1.350,1.575,Manue,5
"Citroën C4 1,6 HDi 112 Seduction",59900,177000,2012,112,24,190,Diese,1.300,1.200,Manue,5
Citroën C3,115000,14000,2020,82,26,173,Benzin,450,1.097,Manue,5
"Citroën C4 Cactus 1,6 BlueHDi 100 Fee",94800,121000,2015,100,32,184,Diese,870,1.070,Manue,5
Citroën C1 Seduction,34880,157000,2011,68,22,157,Benzin,,775,Manue,5
"Citroën C5 2,0 HDi 138 Exclusive Tourer au",26400,278000,2008,135,,,Diese,,,Automatis,
"Citroën C3 1,4",29900,182000,2011,70,,,Diese,,,Manue,
"Citroën C3 1,6 Blue HDi Limited  5d",84800,84000,2016,100,,,Diese,,,Manue,
"Citroën Grand C4 Picasso 2,0 BlueHDi 150 Intensive EAT6",199900,94000,2016,150,23,207,Diese,1.600,1.710,Automatis,5
"Citroën C4 1,6 Blue HDi Feel Complet start/stop 100HK 5d",99800,100933,2016,100,30,,Diese,,,,
"Citroën C4 Cactus 1,2 PT 82 Feel ETG",104900,92000,2014,82,23,172,Benzin,725,975,Automatis,5
"Citroën Berlingo 1,6 HDi 90 Multispace",44900,266000,2009,90,19,160,Diese,1.000,1.404,Manue,5
"Citroën DS3 1,6 HDi 90 DStyle",38500,227000,2010,90,26,180,Diese,500,1.068,Manue,3
"Citroën C4 1,6 e-HDi 115 Seduction E6G",79800,158000,2014,115,26,190,Diese,400,1.440,Automatis,5
"Citroën Grand C4 Picasso 1,6 e-HDi 115 Seduction",129800,124000,2013,115,25,189,Diese,1.500,1.295,Manue,5
Citroën C1,114900,16442,2019,72,26,160,Benzin,,958,Automatis,5
"Citroën C3 1,4 HDi Attraction",30900,190000,2011,70,25,162,Diese,700,1.050,Manue,5
"Citroën C3 1,0 VTi 68 Attraction",59900,85000,2014,68,23,163,Benzin,775,1.120,Manue,5
"Citroën C3 1,4 HDi Dynamique",29900,214000,2010,70,24,162,Diese,700,1.050,Manue,5
Citroën C4 Cactus,144500,14300,2018,100,32,184,Diese,870,1.070,Manue,5
"Citroën C4 Cactus 1,6 BlueHDi 100 Fee",64700,206000,2015,100,32,184,Diese,870,1.070,Manue,5
"Citroën C1 1,0 VTi 72 VTR",84900,14000,2019,72,29,160,Benzin,,915,Manue,5
Citroën Berlingo 16V Multispace Cli,23900,259000,2005,109,14,172,Benzin,1.100,1.225,Manue,5
"Citroën Xsara 1,6 SX",14900,173000,1998,90,14,182,Benzin,1.000,1.075,,5
"Citroën C1 1,0 Seduction Cli",58900,52000,2013,68,23,157,Benzin,,805,,5
"Citroën C4 Aircross 1,8 HDi 150 Seduction",108900,171000,2012,150,18,200,Diese,1.400,1.505,,5
"Citroën C1 1,0 Exclusive",56900,135000,2014,68,23,157,Benzin,,805,,5
"Citroën C1 1,0 e-VTi 68 Shine",68900,32000,2015,68,26,157,Benzin,,860,,5
"Citroën C4 1,6 HDi 110 Nordic E6G",36900,323000,2008,110,22,192,Diese,1.300,1.291,,5
"Citroën C1 1,0 VTi 72 VTR",84900,27000,2019,72,29,160,Benzin,,915,Manue,5
"Citroën DS3 1,6 e-HDi 90 Style",34900,290000,2013,92,28,182,Diese,500,1.085,Manue,3
"Citroën C3 1,4 HDi 70 Seduction",58900,124000,2014,70,26,163,Diese,700,1.190,Manue,5
Citroën C1 Coo,31800,121000,2013,68,23,157,Benzin,,805,Manue,5
"Citroën C4 Picasso 2,0 16V C-line au",49900,245000,2007,143,11,190,Benzin,1.500,1.527,Automatis,5
Citroën C1 PureTech Feel Complet 82HK 5d,64900,40000,2016,,23,,Benzin,,,Manue,
"Citroën C3 1,6 Blue HDi Iconic start/stop 75HK 5d",92900,57000,2018,75,31,,Diese,,,,
"Citroën C5 Aircross 1,6 B/EL Shine Sport EAT8 225HK 5d 8g Au",349900,2871,2020,225,39,,other,,,,
Citroën Berlingo HDi 100 L1 Prof 650,153570,14,2021,,,,,,,,
Citroën C1 Seduction Cli,36900,120000,2014,68,23,157,Benzin,,805,Manue,5
Citroën C3,180000,10000,2020,110,23,188,Benzin,450,1.216,Automatis,5
"Citroën Grand C4 Picasso 2,0 e-HDi 150 Intensive",134980,159000,2014,150,24,210,Diese,1.400,1.705,Manue,5
"Citroën C3 1,6 BlueHDi 75 Iconic LTD",98900,89000,2018,75,31,174,Diese,600,1.065,Manue,5
"Citroën C3 1,4 HDi Furio",7900,230000,2009,70,23,165,Diese,900,1.050,Manue,5
"Citroën BX 1,9 GTi",69800,103000,1991,122,,,Benzin,,1.025,Manue,5
"Citroën C4 1,6 HDi 92 Seduction",52500,156000,2012,92,24,180,Diese,1.350,1.180,Manue,5
"Citroën C5 Aircross 1,6 Hybrid Shine Sport EAT8",359900,3000,2021,225,39,235,Benzin,1.300,1.755,Automatis,5
"Citroën C5 Aircross 1,6 Hybrid Shine Sport EAT8",368490,0,2021,225,39,235,Benzin,1.300,1.755,Automatis,5
"Citroën C3 1,6 BlueHDi 100 SkyLine",134900,48000,2019,100,29,185,Diese,600,1.220,Manue,5
"Citroën 2CV 0,6",60000,132000,1984,29,17,125,Benzin,,575,Manue,4
"Citroën C3 1,6 BlueHDi 75 Fee",104900,66000,2018,75,31,174,Diese,600,1.065,Manue,5
Citroën C1 Cli,24900,165000,2011,68,22,157,Benzin,,775,Manue,5
"Citroën C4 2,0 16V Prestige",15000,200000,2005,138,13,207,Benzin,1.300,1.250,Manue,5
Citroën C5 16V Attraction Toure,39900,175000,2008,125,12,196,Benzin,1.550,1.524,Manue,5
"Citroën C3 1,2 PT 82 Feel+",94900,94000,2016,82,22,177,Benzin,450,955,Manue,5
"Citroën C1 1,2 PureTech Feel Airscape 82HK 5d",68500,39000,2016,82,23,170,Benzin,,,,5
"Citroën C4 Cactus 1,6 BlueHDi 100 Fee",94900,119000,2016,100,32,184,Diese,870,1.070,Manue,5
"Citroën C4 1,5 BlueHDi 130 Shine Sport EAT8",354990,5000,2021,130,26,206,Diese,1.200,1.289,Automatis,5
"Citroën C3 1,6 Blue HDi Seduction start/stop  5d",79990,85000,2000,100,33,189,Diese,,1.652,Manue,4
"Citroën C1 1,0",24500,160000,2008,68,,,Benzin,,,Manue,
"Citroën C4 Cactus 1,6 BlueHDi 100 SkyLine",164461,47000,2018,100,28,184,Diese,950,1.218,,5
Citroën C4 EL 136 AUT Shine Sport C4 EL 136 AUT Shine Spo,314900,2500,2021,,,,,,,,
"Citroën C5 Aircross 1,6 Plugin-hybrid Shine Sport EAT8 225HK 5d 8g Au",354900,2500,2021,225,39,,other,,,Automatis,
Citroën C1,21380,200000,2007,68,22,157,Benzin,,775,Manue,5
"Citroën C4 Cactus 1,6 BlueHDi 100 Fee",84900,158000,2015,100,32,184,Diese,870,1.070,Manue,5
"Citroën C4 1,6 e-HDi 115 Seduction E6G",74900,178000,2014,115,26,190,Diese,400,1.440,Automatis,5
"Citroën C5 1,6 St.Ca",39500,245000,2009,108,,,Diese,,,Manue,
"Citroën DS3 1,6 THP 156 Spo",59900,186000,2011,156,15,214,Benzin,900,1.140,Manue,3
"Citroën C3 Picasso 1,6 HDi 110 Color Concep",47900,166000,2011,110,21,183,Diese,950,1.308,Manue,5
"Citroën C4 1,6 BlueHDi 120 Extravaganza EAT6",139900,91000,2017,120,26,192,Diese,1.450,1.275,Automatis,5
"Citroën C4 Cactus 1,6 e-HDi 92 Feel ETG6",94800,154000,2015,92,29,184,Diese,865,1.055,Automatis,5
"Citroën Grand C4 Picasso 1,6 e-HDi 112 Seduction E6G 7prs",84800,146000,2013,112,22,181,Diese,750,1.735,Automatis,5
Citroën C1 Seduction Cli,36800,128000,2014,68,23,157,Benzin,,805,Manue,5
"Citroën Grand C4 Picasso 2,0 BlueHDi 150 Intensive+ EAT6",269800,91000,2018,150,23,207,Diese,1.600,1.710,Automatis,5
"Citroën C3 Picasso 1,6 HDi 110 Comfo",27500,175000,2010,110,20,183,Diese,950,1.308,Manue,5
"Citroën C5 2,7 HDi 208 Exclusive Tourer au",85000,131000,2009,208,12,222,Diese,1.600,1.777,Automatis,5
"Citroën C3 1,4 VTi Dynamique",49900,86000,2010,95,17,184,Benzin,1.150,1.050,Manue,5
"Citroën C3 1,6 BlueHDi 75 Iconic+",99800,36000,2018,75,31,174,Diese,600,1.065,Manue,5
"Citroën C4 1,5 BlueHDi 130 Shine Sport EAT8",359900,3000,2021,130,26,206,Diese,1.200,1.289,Automatis,5
"Citroën C3 1,6 BlueHDi 100 SkyLine",129900,19000,2019,100,29,185,Diese,600,1.220,Manue,5
"Citroën DS3 1,6 e-HDi 90 Style",56900,155000,2011,92,28,182,Diese,500,1.085,Manue,3
"Citroën Grand C4 Picasso 1,2 PT 130 Seduction",179900,80000,2016,130,20,201,Benzin,1.350,1.575,Manue,5
"Citroën C4 Cactus 1,2 PT 82 Fee",109000,50000,2015,82,22,167,Benzin,720,965,Manue,5
Citroën C1 Prestige,24700,183000,2009,68,22,157,Benzin,,775,Manue,5
Citroën C1 Seduction Cli,34700,204000,2013,68,23,157,Benzin,,805,Manue,5
"Citroën C3 1,6 BlueHDi 100 Iconic LTD",104800,60000,2018,100,27,189,Diese,1.150,1.280,Manue,5
"Citroën C4 Cactus 1,6 BlueHDi 100 Fee",109800,65000,2015,100,32,184,Diese,870,1.070,Manue,5
"Citroën C4 Picasso 1,6 e-HDi 115 Intensive",124800,108000,2014,115,25,189,Diese,1.600,1.555,Manue,5
Citroën C3,85000,65000,2016,82,23,174,Benzin,800,1.140,Manue,5
"Citroën C5 2,0 16V Prestige Weekend",25000,170000,2006,138,,203,Benzin,1.500,1.350,,5
"Citroën C5 2,0 HDi 163 Exclusive Tourer au",89995,205000,2013,163,16,2.008,Diese,1.290,,Automatis,5
"Citroën C4 1,6 e-HDi 112 Seduction E6G",74700,114000,2013,112,26,190,Diese,400,1.440,Automatis,5
"Citroën C4 Cactus PureTech Feel 82HK 5d
                A+",84900,108000,2016,,22,,Benzin,,,Manue,
"Citroën C5 2,0 HDi 140 Seduction Toure",84800,135000,2012,140,18,200,Diese,1.800,1.630,,5
"Citroën C3 1,4 HDi 68 Seduction",64900,82000,2015,68,26,163,Diese,700,1.190,,5
"Citroën C4 1,4 Attraction",74900,106000,2013,95,,,Benzin,,,Manue,
"Citroën Berlingo L1 1,5 Blue HDi Masterline EAT8 start/stop 130HK Van 8g Au",189545,4000,2020,130,,,Diese,,,,
"Citroën Jumpy 2,0 L3 2,0 Blue HDi Masterline EAT8 122HK Van 8g Au",194545,2000,2021,122,18,,Diese,,,,
"Citroën C3 1,2 VTi Seduction 82HK 5d",64900,74000,2014,82,22,,Benzin,,,,
"Citroën Grand C4 Picasso 1,6 e-HDi 115 Intensive",143900,91000,2013,115,25,189,Diese,1.500,1.295,Manue,5
Citroën C5 16V Elegance au,24900,115000,2005,143,12,207,Benzin,1.400,1.425,Automatis,5
"Citroën C5 Aircross 1,5 BlueHDi 130 Platinu",287000,25000,2020,130,28,188,Diese,1.450,1.544,Manue,5
"Citroën C4 1,6 BlueHDi 100 Feel Comple",109900,78000,2016,100,30,180,Diese,1.550,1.440,Manue,5
"Citroën C4 Picasso 1,6 BlueHDi 120 Iconic",164900,91000,2017,120,26,189,Diese,1.600,1.555,Manue,5
Citroën C1,22500,110000,2007,68,22,157,Benzin,,775,Manue,5
"Citroën C1 1,0 Person bi",33900,152000,2013,68,,,Benzin,,,Manue,
"Citroën Grand C4 Picasso 1,6 e-HDi 115 Intensive ETG6",124900,235000,2014,115,25,189,Diese,,1.295,Automatis,5
"Citroën Berlingo 1,5 L1 1,5 Blue HDi Proffline EAT8 start/stop 130HK Van 8g Au",169545,2000,2021,130,21,,Diese,,,,
"Citroën Berlingo 1,5 L1 1,5 Blue HDi Proffline EAT8 start/stop 130HK Van 8g Au",169545,4000,2020,130,23,,Diese,,,,
"Citroën C3 Picasso 1,4 VTi Attraction",89800,60000,2013,95,,,Benzin,,,Manue,
"Citroën Grand C4 Picasso 1,6 e-HDi 115 Intensive ETG6",149800,101000,2014,115,25,189,Diese,,1.295,Automatis,5
"Citroën C1 1,0 e-VTi 68 Scoop Airscape",74500,56000,2016,68,26,157,Benzin,,876,Manue,5
Citroën C1,89500,6500,2018,72,26,160,Benzin,,915,Manue,5
"Citroën DS4 1,6 e-HDi 115 Style",96900,121000,2014,115,23,190,Diese,1.300,1.450,Manue,5
"Citroën C3 1,2 PT 82 Seduction",62500,106000,2014,82,22,174,Benzin,800,1.140,Manue,5
"Citroën Grand C4 Picasso 1,6 BlueHDi 120 Iconic",194900,81000,2018,120,25,189,Diese,1.500,1.625,Manue,5
Citroën C1 Seduction Cli,24900,244000,2013,68,23,157,Benzin,,805,Manue,5
"Citroën C3 1,2 PT 83 Shine",149990,0,2021,83,22,169,Benzin,450,1.085,Manue,5
"Citroën C5 Aircross 1,5 BlueHDi 130 Feel EAT8",368490,0,2021,130,23,189,Diese,1.250,1.548,Automatis,5
"Citroën C1 1,0 VTi 72 Le Mans",109990,0,2021,72,25,160,Benzin,,815,Manue,5
"Citroën C5 2,0 HDi 138 Comfort Tourer au",29000,269000,2008,138,14,198,Diese,1.200,1.670,Automatis,5
Citroën DS3 Blue HDi Style 100HK 3d,109900,57439,2017,100,,,Diese,,,,
"Citroën C4 1,6",17900,184000,2008,108,,,Diese,,,Manue,
"Citroën C1 1,2 PT 82 Iconic",64500,53000,2017,82,23,170,Benzin,,865,Manue,5
Citroën C1 Prestige,29900,133000,2009,68,22,157,Benzin,,775,Manue,5
"Citroën C1 1,0 VTi 72 Origins",84800,15000,2020,72,30,160,Benzin,,949,Manue,5
"Citroën C5 2,0 HDi 140 Attraction Toure",39900,232000,2010,140,17,200,Diese,1.800,1.630,Manue,5
"Citroën C3 Aircross 1,5 BlueHDi 100 SkyLine",159800,82000,2019,100,28,178,Diese,840,1.278,Manue,5
"Citroën C3 1,2 PT 110 SkyLine",139900,27000,2018,110,22,188,Benzin,600,1.025,Manue,5
"Citroën DS5 2,0 HDi 163 Style au",149800,112000,2013,163,17,215,Diese,1.500,1.515,Automatis,5
"Citroën C4 1,6 Blue HDi Challenge start/stop 100HK 5d",107900,82000,2017,100,30,,Diese,,,,
"Citroën C1 1,0 e-VTi 68 Fee",57900,39000,2014,68,26,157,Benzin,,860,Manue,5
"Citroën C4 1,6 HDi 109 Seduction E6G",24800,213000,2008,109,22,192,Diese,1.300,1.291,Automatis,5
"Citroën C4 Picasso 1,6 e-HDi 115 Intensive",104900,146000,2014,115,25,189,Diese,1.600,1.555,Manue,5
"Citroën C1 1,2 PureTech 82 Iconic",69800,74000,2018,82,23,170,Benzin,,865,Manue,5
"Citroën C4 1,6 16V 110 Prestige",34900,119000,2006,109,14,194,Benzin,1.200,1.225,Manue,5
"Citroën C3 Picasso 1,6 HDi 110 Comfo",33900,196000,2010,110,20,183,Diese,950,1.308,Manue,5
"Citroën Grand C4 Picasso 1,6 BlueHDi 120 Iconic EAT6",184900,109000,2017,120,25,188,Diese,1.500,1.625,Automatis,5
"Citroën C5 2,0 HDi 163 Seduction Toure",99900,116000,2012,163,20,210,Diese,1.400,1.767,Manue,5
"Citroën C3 1,2 PT 82 Fee",89900,73000,2017,82,22,177,Benzin,450,955,Manue,5
"Citroën DS3 1,6 e-HDi 90 Style",48000,180000,2011,92,28,182,Diese,500,1.085,Manue,3
"Citroën Berlingo 1,6 HDi 90 Multispace",39900,229000,2008,90,18,160,Diese,1.000,1.404,Manue,5
"Citroën C3 Picasso 1,6 HDi 110 Comfo",33900,202000,2010,110,20,183,Diese,950,1.308,Manue,5
Citroën ë-C4,322490,2,2021,136,68,150,other,,1.516,Automatis,5
Citroën ë-C4,322490,2,2021,136,68,150,other,,1.516,Automatis,5
"Citroën C3 Aircross 1,6 BlueHDi 100 Iconic",164900,31000,2018,100,27,175,Diese,840,1.178,Manue,5
Citroën Xsara Picasso 8V 95 Prestige,14900,278000,2004,95,13,171,Benzin,900,1.225,Manue,5
Citroën C5 16V Prestige,15000,216000,2001,138,12,208,Benzin,1.500,1.350,Manue,5
"Citroën C4 Aircross 1,8 HDi 150 Seduction",75000,256000,2012,150,18,200,Diese,1.400,1.505,Manue,5
"Citroën C3 Picasso 1,6 HDi 110 Comfo",23900,260000,2010,110,20,183,Diese,950,1.308,Manue,5
"Citroën C1 1,2 PT 82 Spo",69900,44000,2016,82,23,170,Benzin,,865,Manue,5
"Citroën C1 1,0 VTi 72 Shine",99900,4000,2020,72,30,160,Benzin,,949,Manue,5
"Citroën C1 1,0 VTi 72 SportLine",82500,20000,2019,72,29,160,Benzin,,949,Manue,5
Citroën C1,21990,194000,2009,68,22,157,Benzin,,800,Manue,5
"Citroën C3 Picasso 1,6 HDi 110 Comfo",39999,216000,2009,110,20,183,Diese,950,1.308,,5
"Citroën C4 1,5 Blue HDi Shine Sport EAT8 130HK 5d 8g Au",349900,4300,2021,130,26,,Diese,,,,
"Citroën Berlingo 1,6 e-HDi 92 Seduction E6G",79900,182000,2012,92,21,165,Diese,1.000,1.440,Automatis,5
"Citroën C5 2,0 HDi 138 Dynamique",49800,194000,2009,138,17,204,Diese,1.820,1.583,Manue,4
"Citroën Grand C4 Picasso 2,0 BlueHDi 150 Intensive EAT6",229700,168000,2017,150,23,207,Diese,1.600,1.710,Automatis,5
"Citroën C1 1,2 PT 82 Feel Comple",57780,98000,2016,82,23,170,Benzin,,865,Manue,5
Citroën Xsara 16V Prestige Weekend au,13700,199000,2002,110,13,187,Benzin,1.000,1.200,Automatis,5
"Citroën C4 1,6 e-HDi 115 Seduction",69900,183000,2014,115,26,190,Diese,1.300,1.440,Manue,5
Citroën C1 Seduction Cli,32800,150000,2013,68,22,157,Benzin,,775,Manue,5
"Citroën C4 Cactus 1,6 BlueHDi 100 Fee",49700,232000,2015,100,32,184,Diese,870,1.070,Manue,5
"Citroën C1 1,2 PureTech Sport 82HK 5d",59900,81000,2017,82,23,,Benzin,,,,5
"Citroën Berlingo 1,5 L1 1,5 Blue HDi Proffline start/stop 100HK Van",153570,2,2021,100,26,,Diese,,,,
"Citroën DS5 2,0 HDi 163 Style au",119900,191000,2013,163,16,215,Diese,1.500,1.515,Automatis,5
"Citroën C1 1,2 PT 82 Feel+",69800,58000,2017,82,23,170,Benzin,,865,Manue,5
"Citroën C1 1,0 VTi 72 SportLine",74000,41000,2019,72,29,160,Benzin,,949,Manue,5
"Citroën Grand C4 SpaceTourer 1,2 PT 130 Iconic",219900,63000,2019,130,21,201,Benzin,1.350,1.575,Manue,5
Citroën C4 Picasso,104900,157000,2014,90,26,175,Diese,1.400,1.555,Automatis,5
Citroën C3,142500,34000,2018,110,22,188,Benzin,600,1.025,Manue,5
"Citroën C3 1,2 PT 82 Fee",99900,55000,2018,82,22,177,Benzin,450,955,Manue,5
"Citroën C3 1,4 HDi Dynamique",59800,87000,2010,70,24,162,Diese,700,1.050,Manue,5
Citroën C3,157900,65700,2018,110,20,188,Benzin,600,1.176,Automatis,5
"Citroën C1 1,2 PT 82 Feel Comple",74900,65000,2016,82,23,170,Benzin,,865,Manue,5
"Citroën C4 1,6 BlueHDi 100 Feel Comple",124900,37000,2016,100,30,180,Diese,1.550,1.440,Manue,5
"Citroën Berlingo 1,6 BlueHDi 100 Fee",179900,59000,2018,100,24,166,Diese,1.200,1.496,Manue,5
"Citroën C5 Aircross 1,2 PT 130 Iconic",239800,76000,2019,130,21,188,Benzin,1.350,1.379,Manue,5
"Citroën C4 1,2 PT 110 Fee",104900,49000,2015,110,21,184,Benzin,1.450,1.370,Manue,5
Citroën C5 Aircross,284900,15596,2019,130,28,188,Diese,1.450,1.544,Manue,5
"Citroën C3 Picasso 1,6 BlueHDi 100 Seduction",79880,130000,2015,100,26,179,Diese,900,1.420,Manue,5
"Citroën C4 Aircross 1,8 HDi 150 Seduction 4WD",128380,140000,2012,150,18,198,Diese,1.400,1.570,Manue,5
"Citroën C3 Pluriel 1,6",57000,90000,2004,,,,Benzin,,,Automatis,
"Citroën C3 1,2 PT 82 Origins",149900,9000,2019,82,26,173,Benzin,450,1.097,Manue,5
"Citroën Grand C4 Picasso 1,6 BlueHDi 120 Attraction",149800,116000,2015,120,25,188,Diese,1.500,1.625,Manue,5
"Citroën C3 Aircross 1,2 PT 110 Iconic",144900,57000,2017,110,20,185,Benzin,840,1.134,Manue,5
"Citroën C1 1,0 VTi 72 Shine",94900,1000,2020,72,30,160,Benzin,,949,Manue,5
"Citroën C3 Picasso 1,6 HDi 110 Seduction",29900,389000,2009,110,20,183,Diese,950,1.308,Manue,5
Citroën C3 Aircross,164500,32000,2018,110,20,185,Benzin,840,1.134,Manue,5
"Citroën C3 1,6 BlueHDi 100 Challenge",72500,133000,2017,100,33,189,Diese,1.150,1.280,Manue,5
"Citroën C3 1,4 HDi Seduction",44900,134000,2012,70,26,163,Diese,700,1.190,Manue,5
"Citroën Grand C4 Picasso 2,0 HDi 163 Exclusive au",69900,219000,2012,163,,190,Diese,1.200,,,5
"Citroën C3 1,2 PT 82 SkyLine",124700,25000,2019,82,23,173,Benzin,450,1.097,Manue,5
