model,price,Kilometer,Årgang,Hestekræfter,Km/l,Tophastighed,Brændstoftype,Max. påhæng,Vægt,Gearkasse,Antal døre
"Citroën C1 1,2 PureTech 82 Spo",51180,126000,2016,82,23,170,Benzin,,865,Manue,5
Citroën C3,194900,7940,2020,110,21,188,Benzin,450,1.216,Automatis,5
"Citroën C3 1,2 PureTech 82 Seduction ETG",79800,100000,2014,82,24,176,Benzin,,955,Automatis,5
"Citroën C4 1,6 HDi 110 Seduction E6G",72900,131000,2011,110,24,190,Diese,1.300,1.265,Automatis,5
"Citroën C3 1,5 BlueHDi 100 SkyLine",124900,45000,2019,100,29,188,Diese,600,1.211,Manue,5
"Citroën C4 Cactus 1,2 PureTech 82 Fee",79900,172000,2015,82,22,167,Benzin,720,965,Manue,5
"Citroën Grand C4 Picasso 2,0 BlueHDi 150 Intensive",124700,184000,2016,150,26,210,Diese,1.700,1.705,Manue,5
"Citroën C4 1,6 HDi 109 Seduction E6G",42500,138000,2008,109,22,192,Diese,1.300,1.291,Automatis,5
"Citroën C3 1,2 PureTech 82 Stree",119900,22000,2019,82,23,173,Benzin,450,1.097,Manue,5
Citroën C1 SX,34800,71000,2010,68,22,157,Benzin,,775,Manue,5
"Citroën C4 Cactus 1,6 BlueHDi 100 Fee",96800,94000,2014,100,32,184,Diese,870,1.070,Manue,5
"Citroën DS3 1,2 VTi 82 Style",59900,93000,2013,82,22,172,Benzin,,1.050,Manue,3
Citroën C1,49000,60000,2014,68,23,157,Benzin,,805,Manue,5
"Citroën C4 Picasso 1,2 PureTech 130 Intensive",144900,80000,2016,130,20,196,Benzin,1.470,1.505,Manue,5
"Citroën C3 1,0 PureTech 68 Scoop",54900,87000,2014,68,23,163,Benzin,775,1.120,Manue,5
"Citroën C3 Picasso 1,6 HDi 110 Comfo",59900,85000,2010,110,20,183,Diese,950,1.308,Manue,5
"Citroën C3 Picasso 1,6 HDi 110 Comfo",19800,310000,2009,110,20,183,Diese,950,1.308,Manue,5
"Citroën Grand C4 Picasso 1,8",24900,230000,2007,124,,,Benzin,,,Manue,
Citroën C5 16V Prestige au,34900,165000,2007,138,12,194,Benzin,1.500,1.350,Automatis,5
"Citroën C3 1,0 PureTech 68 Seduction",55900,86000,2015,68,23,163,Benzin,775,1.120,Manue,5
"Citroën C3 Picasso 1,6 BlueHDi 100 Upgrade",79900,100000,2015,100,26,179,Diese,900,1.420,Manue,5
"Citroën DS4 1,6 e-HDi 112 Style",79900,140000,2013,112,22,190,Diese,1.300,1.450,Manue,5
"Citroën C3 1,2 PureTech Iconic 82HK 5d",109900,30000,2018,82,22,,Benzin,,,,
"Citroën C1 1,0 e-VTi 68 Scoop",52900,101000,2014,68,26,157,Benzin,,860,Manue,5
"Citroën C1 1,2 PT 82 Extravaganza",69900,44000,2017,82,23,170,Benzin,,865,Manue,5
"Citroën C1 1,2 PureTech 82 Funky",74900,21000,2017,82,23,170,Benzin,,865,Manue,5
"Citroën C1 1,0 VTi 72 SportLine",82500,16000,2019,72,29,160,Benzin,,949,Manue,5
"Citroën C3 1,4 HDi Furio",12899,273000,2008,70,23,165,Diese,900,1.050,Manue,5
Citroën C1,62900,89500,2017,82,23,170,Benzin,,865,Manue,5
"Citroën C3 1,4 Family",24500,109000,2005,75,16,168,Benzin,900,1.000,Manue,5
"Citroën C1 1,0 VTi 72 Iconic+",79900,11000,2018,72,29,160,Benzin,,949,Manue,5
"Citroën C3 1,2 VTi 82 Seduction",59800,82000,2014,82,22,174,Benzin,800,1.140,Manue,5
"Citroën C1 1,0 VTi 72 Shine",91900,2000,2020,72,30,160,Benzin,,949,Manue,5
"Citroën C3 1,2 PT 82 Extravaganza",99500,62000,2017,82,22,177,Benzin,450,955,Manue,5
"Citroën Grand C4 Picasso 1,6 HDi 110 VTR 7prs",39995,307000,2010,110,18,180,Diese,880,1.505,Manue,5
Citroën C1,29500,128000,2009,68,22,157,Benzin,,800,Manue,5
"Citroën C3 1,2 PureTech 110 SkyLine",144800,24000,2019,110,23,188,Benzin,600,1.209,Manue,5
Citroën C1 Seduction,29900,168000,2011,68,22,157,Benzin,,775,Manue,5
Citroën C5 16V Prestige au,29900,195000,2006,138,12,194,Benzin,1.500,1.350,Automatis,5
"Citroën C4 Cactus 1,6 BlueHDi 100 Fee",89800,151000,2014,100,32,184,Diese,870,1.070,Manue,5
"Citroën Jumper 15 2,2 HDi L2H2",44900,221000,2006,,8,,Diese,2.000,2.200,Manue,5
Citroën Xsara Picasso 16V,14900,377000,2007,110,14,180,Benzin,1.300,1.275,Manue,5
Citroën C4 Cactus Blue HDi Iconic start/stop 100HK 5d,128800,60000,2018,,32,,Diese,,,Manue,
"Citroën C3 1,6 HDi 92 Attraction",33900,211000,2010,92,26,180,Diese,500,1.055,Manue,5
"Citroën C3 Picasso 1,6 HDi 90 Seduction",49900,166000,2012,90,24,174,Diese,1.200,1.401,,5
"Citroën C4 Cactus 1,2 PureTech Feel 82HK 5d",94900,78000,2014,82,22,,Benzin,,,,
"Citroën C4 Cactus 1,2 PT 110 Iconic",134900,30000,2018,110,24,188,Benzin,950,1.170,Manue,5
Citroën C1,74900,36000,2016,82,23,170,Benzin,,865,Manue,5
"Citroën C3 1,2 PT 82 Fee",79900,85000,2017,82,22,177,Benzin,450,955,Manue,5
"Citroën C3 1,5 BlueHDi 100 VTR Spo",134900,40000,2019,100,33,188,Diese,600,1.211,Manue,5
Citroën C1 Coo,34899,117000,2013,68,23,157,Benzin,,805,Manue,5
Citroën C1 SX,29900,81000,2010,68,22,157,Benzin,,775,Manue,5
"Citroën Grand C4 Picasso 1,6 e-HDi 115 Seduction",114900,183000,2014,115,25,189,Diese,1.500,1.295,Manue,5
"Citroën C4 Picasso 1,6 e-HDi 90 Attraction ETG6",84900,222000,2014,90,26,175,Diese,1.400,1.555,Automatis,5
"Citroën Grand C4 Picasso 1,6 e-HDi 115 Intensive ETG6",140000,170000,2014,115,25,189,Diese,,1.295,Automatis,5
"Citroën C5 1,6 HDi 110 Dynamique Toure",55000,185000,2011,110,22,188,Diese,1.000,1.512,Manue,5
"Citroën C3 1,2 PT 110 SkyLine",139900,50000,2019,110,23,188,Benzin,600,1.209,Manue,5
"Citroën C3 1,6 BlueHDi 100 Fee",89800,88000,2016,100,33,189,Diese,1.150,1.280,Manue,5
"Citroën C3 Aircross 1,2 PT 110 Iconic",169900,47000,2019,110,23,188,Benzin,840,1.234,Manue,5
"Citroën C3 1,6 BlueHDi 100 Seduction Comple",64800,188000,2016,100,33,189,Diese,1.150,1.280,Manue,5
"Citroën C3 Aircross 1,2 PT 110 Shine Spo",220490,0,2021,110,20,183,Benzin,840,1.254,Manue,5
Citroën C1 Cli,26400,157000,2010,68,22,157,Benzin,,775,Manue,5
"Citroën C3 1,4 HDi Furio",17900,165000,2007,70,23,165,Diese,900,1.050,Manue,5
"Citroën C5 Aircross 1,6 PT 180 SportLine EAT8",319900,26000,2019,180,19,216,Benzin,1.500,1.405,Automatis,5
"Citroën C3 Aircross 1,5 BlueHDi 100 SkyLine",144900,55000,2019,100,29,178,Diese,840,1.278,Manue,5
"Citroën C3 1,6 HDi 92 Attraction",29900,252000,2010,92,26,180,Diese,500,1.055,Manue,5
"Citroën C5 2,0 HDi 140 Comfort Toure",59900,167000,2010,140,17,200,Diese,1.800,1.630,Manue,5
"Citroën C4 Cactus 1,6 Blue HDI Feel start/stop",89900,117000,2015,92,,,Diese,,,Automatis,
"Citroën C3 1,0 VTi 68 Seduction",35000,183000,2014,68,23,163,Benzin,775,1.120,Manue,5
"Citroën C4 1,6 BlueHDi 100 Feel Complete",109500,53000,2015,100,30,180,Diese,1.550,1.440,Manue,5
"Citroën C5 1,6 HDi Prestige Weekend",7800,314000,2005,109,18,187,Diese,1.200,1.425,Manue,5
Citroën C5 Prestige Weekend,6900,225000,2003,116,13,193,Benzin,1.500,1.350,Manue,5
"Citroën C4 1,2 PT 110 Fee",109900,55000,2015,110,21,184,Benzin,1.450,1.370,Manue,5
"Citroën C4 Picasso 1,6 HDi 110 VTR+ E6G",29995,299000,2007,110,18,180,Diese,1.200,1.474,Automatis,5
"Citroën C5 1,6 e-HDi 112 Seduction Tourer E6G",49700,224000,2011,112,22,190,Diese,1.000,1.440,Automatis,5
Citroën Xsara Picasso 8V 95 Advance,6999,300000,2005,95,13,171,Benzin,900,1.225,Manue,5
"Citroën DS5 2,0 HDi 163 Design au",119900,151000,2012,163,17,215,Diese,1.500,1.515,Automatis,5
"Citroën DS5 1,6 e-HDi 115 Design E6G",114900,143000,2012,115,23,191,Diese,1.100,1.593,Automatis,5
Citroën C1 Prestige,22900,200000,2008,68,22,157,Benzin,,775,Manue,5
"Citroën C3 1,4 HDi Seduction",39500,148000,2012,70,26,163,Diese,700,1.190,Manue,5
"Citroën C1 1,2 PT 82 Feel Comple",54780,123000,2016,82,23,170,Benzin,,865,Manue,5
"Citroën C4 1,6 BlueHDi 120 Fee",89800,184000,2015,120,28,197,Diese,1.550,1.455,Manue,5
"Citroën Grand C4 Picasso 1,6 BlueHDi 120 Seduction",159900,98000,2015,120,25,188,Diese,1.500,1.625,Manue,5
"Citroën C5 2,0 HDi 140 Seduction Toure",64500,183000,2012,140,18,200,Diese,1.800,1.630,Manue,5
Citroën Xsara Picasso 16V 110 Exclusive,14900,299000,2007,110,14,180,Benzin,1.300,1.275,Manue,5
"Citroën C4 Picasso 1,6 HDi 110 VTR+ E6G",34500,235000,2008,110,18,180,Diese,1.200,1.474,Automatis,5
"Citroën C1 1,0",64000,30000,2016,69,,,Benzin,,,,
"Citroën C1 1,2 PureTech Sport 82HK 5d",77800,11300,2016,82,23,,Benzin,,,,
"Citroën C3 Aircross 1,2 PureTech Iconic start/stop 110HK 5d",169900,8609,2018,110,20,,Benzin,,,,
"Citroën C4 1,6 HDi 110 VTR+ E6G",29500,190000,2007,110,22,192,Diese,1.300,1.291,Automatis,5
"Citroën C3 Picasso 1,6 HDi 110 Color Concep",39500,190000,2010,110,21,183,Diese,950,1.308,Manue,5
"Citroën C3 1,2 PT 82 Feel+",79900,155000,2017,82,22,177,Benzin,450,955,Manue,5
"Citroën C4 Cactus 1,6 BlueHDi 100 Fee",94900,108000,2014,100,32,184,Diese,870,1.070,Manue,5
"Citroën C5 1,6 HDi Elegance",9900,295000,2007,109,18,190,Diese,1.000,1.400,Manue,5
"Citroën C1 1,2 PureTech 82 Shine",69800,55000,2016,82,23,170,Benzin,,865,Manue,5
"Citroën C4 1,2 PureTech Feel EAT8 130HK 5d 8g Au",254900,6000,2021,130,21,,Benzin,,,,
Citroën C5 Aircross B/EL Feel EAT8 225HK 5d 8g Au,309900,5000,2020,225,,,Benzin,,,,
"Citroën C5 Aircross 1,5 Blue HDi Feel EAT8 start/stop 130HK 5d 8g Au",339900,11985,2020,130,27,,Diese,,,,
"Citroën C1 1,0 VTi Feel Airscape start/stop 68HK 3d",74900,70000,2015,68,26,,Benzin,,,,
"Citroën C4 Cactus 1,2 PT 110 Shine",99800,17000,2015,110,21,188,Benzin,825,1.020,Manue,5
